Experiment No.,Time [h],Xv [10ˆ6 Cells/mL],GLC [mM],GLN[mM],NH4 [mM],LAC [mM],Titer [mg/L],pH,T [º C],Feed - GLC [mM],Feed - GLN [mM]
13,216,4.353940279,153.4274509,0,6.513651678,141.1743379,654.623037,7,37.5,30,1
13,240,4.299531305,146.7763589,0,7.672244719,164.9650114,524.2383175,7,37.5,30,1
13,264,4.734370245,197.9139803,0.228225337,8.311854571,150.9838356,844.8289501,7,37.5,30,1
13,288,4.350526899,230.3853265,0.532153605,8.33302752,172.1923525,931.2000003,7,37.5,30,1
13,312,3.531232146,181.1876268,0.385227119,7.332966008,161.4027089,807.6815226,7,37.5,0,0
13,336,3.935540365,182.1986147,0,8.421119384,228.4497427,1060.070226,7,35,0,0
14,0,0.4,60,3,0.1,0.1,0,7.1,37.5,0,0
14,24,1.997005418,57.61805785,1.956863317,0,12.09621388,0,7.1,37.5,30,6
14,48,2.939765039,74.04410404,4.442881245,3.022470257,27.65465056,31.29809508,7.1,37.5,30,6
14,72,4.556557086,76.31304399,6.270799396,5.199919819,47.60873972,145.8855248,7.1,37.5,30,6
14,96,6.193093212,84.68179879,7.450866617,7.491325352,77.09730663,257.4098321,7.1,37.5,30,6
14,120,6.464221166,86.45545542,13.85280011,10.89938188,122.4670457,456.7522518,7.1,37.5,30,6
14,144,5.759523112,105.8688817,14.14401846,14.7250432,89.15363243,586.8833296,7.1,35,30,6
14,168,5.950709496,147.380675,13.78351768,20.42062545,102.3512011,710.5697786,7.1,35,30,6
14,192,2.75284514,129.077269,16.61122449,20.47744898,123.6967479,714.5241295,7.1,35,30,6
14,216,3.107269011,189.6898209,12.34680941,29.91110203,125.1447751,1084.37444,7.1,35,30,6
14,240,2.964618474,200.3852494,15.76571421,22.28304715,131.0440786,930.5679543,7.1,35,30,6
14,264,2.376726303,240.2308135,23.14109609,45.45274342,155.8488781,987.4762664,7.1,35,30,6
14,288,1.272163324,282.991872,20.73605645,29.68155808,162.0288768,1019.871019,7.1,35,30,6
14,312,1.355363686,211.2493342,31.06983776,37.694469,144.9181721,1105.67406,7.1,35,0,0
14,336,0.852057966,276.6291553,21.28461331,48.89711968,154.2381561,883.0154927,7,35,0,0
15,0,0.2,60,3,0.1,0.1,0,6.9,37.5,0,0
15,24,0.455936387,69.53033734,1.886355987,0.664582294,1.610537355,0.644239386,6.9,37.5,0,0
15,48,0.901804184,47.35676819,1.192608477,1.658045344,7.254730682,17.59619114,6.9,37.5,0,0
15,72,2.106174148,49.52363479,0.184806229,1.77501829,18.38058136,35.28911397,6.9,37.5,30,6
15,96,3.770686874,64.14894638,3.48375762,2.392824223,25.14320696,80.43206752,6.9,37.5,30,6
15,120,3.814389424,72.92928619,8.541544595,6.892150682,54.06808463,187.8808572,6.9,37.5,30,6
15,144,5.317220721,118.3468414,7.328887566,7.849503188,58.41573194,284.3116586,6.9,35,30,6
15,168,4.246696077,133.7631215,9.442177289,9.232457908,74.11089389,338.7283273,6.9,35,30,6
15,192,3.121018891,172.5338234,18.92105859,16.62691184,64.46401424,447.3017625,6.9,35,0,0
15,216,3.415432007,146.6063567,13.39779217,20.47848384,84.11602959,644.3221502,6.9,35,0,0
15,240,2.396169671,155.3745251,9.181371659,19.8335262,84.03455968,737.6439863,6.9,35,0,0
15,264,3.511951171,134.9397312,8.192089126,21.3133163,87.78534236,956.2045984,6.9,35,0,0
15,288,2.210573779,115.0237327,7.120686193,22.85748781,102.9712219,917.4088746,6.9,35,0,0
15,312,1.809869593,106.5254625,5.739737389,23.49923413,113.3456371,945.1504136,6.9,35,0,0
15,336,1.779854709,121.7784005,4.676774074,20.37719389,146.1902621,970.9052841,7,35,0,0
16,0,0.4,20,8,0.1,0.1,0,7.1,37.5,0,0
16,24,0.873733079,11.843252,8.304013776,1.622539591,6.982061414,6.084406109,7.1,37.5,0,0
16,48,2.645269769,0,2.858397374,2.841212148,19.70699052,7.845906486,7.1,37.5,0,0
16,72,2.552773077,0,2.305138896,3.378146354,14.41667613,23.69397614,7.1,37.5,30,1
16,96,3.941555139,14.13279702,1.365533164,6.391356406,45.62465071,69.56229277,7.1,37.5,30,1
16,120,5.614450455,29.68055136,0,5.525101446,51.9623286,128.9366526,7.1,37.5,30,1
16,144,6.386005076,42.03731808,0.096741193,7.908219527,63.37195449,166.9284726,6.7,37,30,1
16,168,5.140304562,56.62583541,0.686949607,7.629083871,93.11036867,378.6167013,6.7,37,30,1
16,192,4.103828676,90.41523861,1.116767597,8.67258227,94.1177685,500.6470604,6.7,37,30,1
16,216,3.210423088,127.7533268,1.654334166,5.797713196,87.16650907,473.3671066,6.7,37,30,1
16,240,2.836792108,113.3234063,1.679589526,6.443050843,115.8064523,784.5418759,6.7,37,30,1
16,264,3.411392739,161.1182036,1.560814761,8.456184871,84.85897532,698.0720751,6.7,37,30,1
16,288,2.803938957,214.4896132,2.197312909,8.262839487,137.740982,1050.267404,6.7,37,30,1
16,312,2.916426828,161.6768513,2.722543356,7.593525558,136.2726503,1026.292622,6.7,37,0,0
16,336,2.286592064,193.6643965,2.444167834,9.86651284,130.932219,1051.494948,6.7,37,0,0
17,0,0.4,60,3,0.1,0.1,0,7.1,36,0,0
17,24,0.642294699,66.39006516,1.765286148,1.375453878,8.156664529,13.11035231,7.1,36,5,1
17,48,1.935098926,63.88602435,1.31073463,1.90953695,10.37388099,14.56147249,7.1,36,5,1
17,72,2.624935967,51.88164825,0.902996677,2.226754311,30.37456988,101.6689749,7.1,36,5,1
17,96,3.875455229,50.59139767,0.496697364,4.25205293,40.77612157,214.2002264,7.1,36,5,1
17,120,4.151814272,39.63678548,0.093505897,3.199128555,63.1385009,183.9238964,7.1,36,5,1
17,144,5.874487002,22.0066166,0,4.673717442,89.3699546,355.5830446,7,36,5,1
17,168,4.408704186,19.17942407,0.214237842,5.281084757,75.64642894,490.8661506,7,36,5,1
17,192,4.076642514,7.396147351,0,4.524663324,123.9138681,575.3029291,7,36,0,0
17,216,5.646570245,0,0,5.188457321,107.8532802,572.1568166,7,36,0,0
17,240,4.042807374,0,0,4.8869361,114.7882806,672.301617,7,36,0,0
17,264,4.457253712,0,0,3.963465939,134.545662,642.3105472,7,36,0,0
17,288,3.60108437,0.006808036,0,5.253631255,92.02406655,723.2167683,7,36,0,0
17,312,1.993584044,0.71137065,0.093039968,6.839665665,82.85748844,618.4038971,7,36,0,0
17,336,2.691441813,0.330811197,0.070810617,4.87422145,121.4043841,590.1393496,7,35,0,0
18,0,0.2,20,3,0.1,0.1,0,7.1,37.5,0,0
18,24,0.989853148,15.54331358,1.710524246,0.740640452,4.760168907,0,7.1,37.5,0,0
18,48,2.143305815,5.370557523,0.283535906,1.819810094,10.6865203,14.53756364,7.1,37.5,0,0
18,72,2.936016197,1.406886156,0,1.541932834,23.03323764,5.588849946,7.1,37.5,5,1
18,96,2.796101262,0,0.289342726,2.536879568,27.75081719,39.04865011,7.1,37.5,5,1
18,120,2.716403993,0,0.256619643,2.545431497,21.35315515,45.61515295,7.1,37.5,5,1
18,144,3.629248945,0,0.40753844,2.050245619,38.07741924,76.74698313,7.1,37.5,5,1
18,168,3.522958147,0,0.947089116,4.423710875,46.17958367,49.16532705,7.1,37.5,5,1
18,192,4.226361057,0,0.766492578,3.905444413,43.75327219,114.9910668,7.1,37.5,0,0
18,216,3.42516754,0.379532951,0.407017679,3.381950828,56.5686022,98.80772614,7.1,37.5,0,0
18,240,3.620750869,0,0.526735008,2.501899044,52.69888503,118.459916,7.1,37.5,0,0
18,264,3.059808602,0.150673723,0.249136377,3.880725531,44.17366185,109.7316436,7.1,37.5,0,0
18,288,2.424741703,0.008669911,0.253620073,2.998636133,37.55322765,126.028985,7.1,37.5,0,0
18,312,2.351531175,0.651170108,0.094419683,3.03088473,27.51423116,126.2750221,7.1,37.5,0,0
18,336,2.575027604,0.041567108,0.135254308,3.3674068,48.27840383,94.97382706,7,35,0,0
19,0,0.2,20,8,0.1,0.1,0,7.1,37.5,0,0
19,24,0.891517041,16.6954724,6.80135091,1.920765466,6.558988329,8.199856024,7.1,37.5,0,0
19,48,1.744164962,8.698797938,4.271365815,1.652489366,18.19480531,22.25350764,7.1,37.5,0,0
19,72,2.452268377,0,2.283357741,3.547665919,23.8770234,26.30943069,7.1,37.5,30,6
19,96,4.38017807,13.66513108,4.61999464,7.209042545,56.00739101,115.4542628,7.1,37.5,30,6
19,120,5.050486502,22.98269136,5.914840978,6.568572196,61.89583296,241.9254809,7.1,37.5,30,6
19,144,5.112644057,33.47912147,5.856289512,11.42742012,81.92771094,373.8850326,7.1,37.5,30,6
19,168,6.836824591,62.4119527,12.51003993,13.47079005,111.5680774,529.9130519,7.1,37.5,30,6
19,192,4.547663472,76.57913807,12.5046414,13.86319287,127.2973156,605.2341313,7.1,37.5,0,0
19,216,2.976952661,55.24618652,11.14680675,14.26934389,130.1262075,888.5736794,7.1,37.5,0,0
19,240,2.937126822,60.86918382,7.668541632,26.16630125,119.2283654,831.0224322,7.1,37.5,0,0
19,264,2.114984605,53.95382273,5.399058613,22.89501664,90.69464779,880.1856585,7.1,37.5,0,0
19,288,1.255858442,44.16318751,5.793447089,28.97804024,183.564522,1016.076649,7.1,37.5,0,0
19,312,1.550938908,45.98479803,3.860592175,29.43950971,157.6529455,1097.512938,7.1,37.5,0,0
19,336,1.151187233,35.96082456,2.792008139,25.16967057,149.01357,941.1303692,7,35,0,0
20,0,0.2,20,3,0.1,0.1,0,6.9,36,0,0
20,24,0.465051996,12.34483772,1.930211003,0.995202002,1.55799764,8.444000298,6.9,36,0,0
20,48,0.823930394,14.87878537,1.247687081,1.008068775,6.053219777,21.4313363,6.9,36,0,0
20,72,1.615608643,9.63006244,0.400730954,1.198851607,14.78558708,30.07026803,6.9,36,5,6
20,96,2.375977978,7.224935311,4.691587552,3.049814658,18.80765539,86.76352018,6.9,36,5,6
20,120,2.718657617,5.387860166,9.14769869,5.71434507,34.42096577,120.7917745,6.9,36,5,6
20,144,4.067592788,3.093003072,11.60234811,8.745797987,41.46016557,151.4996972,6.9,37,5,6
20,168,3.622482292,0.187848079,13.54774178,14.06653764,44.18476622,259.4896238,6.9,37,5,6
20,192,3.843765131,0,16.75904446,8.991999712,51.45374222,284.6029427,6.9,37,0,0
20,216,2.605940963,0,14.302848,14.20922608,61.31478661,318.6332986,6.9,37,0,0
20,240,1.858858785,0,10.0637725,17.20152431,48.96433741,289.0540215,6.9,37,0,0
20,264,2.323962291,0.858006212,9.271830329,23.48067533,37.28186921,253.3264637,6.9,37,0,0
20,288,1.81113836,0.768927844,8.723884925,18.43493463,33.588429,238.7730628,6.9,37,0,0
20,312,1.560427208,0.24453115,5.090604015,24.70189798,54.22106308,272.9210846,6.9,37,0,0
20,336,1.045296893,0,5.821529761,22.22333941,51.31568817,319.5744795,6.7,37,0,0
22,0,0.4,60,3,0.1,0.1,0,7.1,37.5,0,0
22,24,1.37225896,55.53868202,1.220808259,1.107987395,14.63984556,11.12720497,7.1,37.5,0,0
22,48,2.580573567,46.58729586,0,2.270989711,20.43461328,19.40955141,7.1,37.5,0,0
22,72,2.43944499,55.11564212,0.069874409,1.14209457,25.61546435,26.03267889,7.1,37.5,5,1
22,96,2.755748638,43.98688021,0,2.733348052,40.63525762,35.23673113,7.1,37.5,5,1
22,120,3.189216049,25.9054344,0.032745464,2.255508863,66.79658366,99.49276462,7.1,37.5,5,1
22,144,5.603245304,15.95187603,0,3.33770047,65.96119419,116.101475,6.7,37,5,1
22,168,4.317375891,16.64243772,0.45460441,3.022055367,90.70281413,273.2335678,6.7,37,5,1
22,192,3.508244224,16.66717573,0.998169466,2.987564017,76.57791972,389.8502615,6.7,37,0,0
22,216,4.429382923,7.501248038,1.049133182,4.342952665,82.76904293,361.1188156,6.7,37,0,0
22,240,3.102029597,5.839451409,0.85803114,3.979195686,128.3703156,505.49731,6.7,37,0,0
22,264,4.160324899,0,0.310596019,4.538732568,118.2958388,687.8028188,6.7,37,0,0
22,288,3.060763531,0,0.421911621,2.835527986,115.7763108,609.6125335,6.7,37,0,0
22,312,2.657233538,0,0.312530121,3.531059818,106.3491499,756.5392377,6.7,37,0,0
22,336,3.297586562,0,0.224789742,3.286038645,95.71622706,535.2027061,6.7,37,0,0
23,0,0.4,60,8,0.1,0.1,0,6.9,36,0,0
23,24,0.636327781,46.44214056,4.600193724,1.221724802,5.142134777,9.129372341,6.9,36,0,0
23,48,1.035565745,52.48159757,3.790615293,3.226690289,9.12597578,15.71136843,6.9,36,0,0
23,72,1.495571131,76.59904292,2.897183065,3.907603746,13.26824488,62.5171424,6.9,36,30,6
23,96,2.421232425,95.33600142,7.757024723,5.519183394,18.27911023,94.88199311,6.9,36,30,6
23,120,2.314432437,97.69335177,10.2110125,6.491347074,25.93793612,191.160363,6.9,36,30,6
23,144,3.312222747,143.3327317,11.02079357,8.183229248,39.18729688,245.0695675,7,36,30,6
23,168,2.578456581,184.5901296,13.07044971,13.58092089,42.47524706,398.8570102,7,36,30,6
23,192,3.220384847,145.3604256,16.33010044,13.30035374,51.93788525,385.0670113,7,36,0,0
23,216,3.213030542,138.6085402,12.46581163,18.21372735,66.90936285,457.565509,7,36,0,0
23,240,2.473746908,164.0476105,11.23972056,16.70310525,80.57887274,630.8888339,7,36,0,0
23,264,2.383493683,175.3727023,9.403962258,20.82144208,78.349549,650.6910716,7,36,0,0
23,288,1.689415201,148.912846,9.550621094,26.11760449,74.77002581,776.0747086,7,36,0,0
23,312,1.504377351,147.5283341,5.499614165,27.21434288,95.89695847,781.6007664,7,36,0,0
23,336,1.470812947,157.5685644,4.939516178,30.33306995,112.8233036,772.4543092,7,37,0,0
24,0,0.4,20,8,0.1,0.1,0,6.9,37.5,0,0
24,24,0.966268368,14.2216493,6.429457395,0.932204752,5.22778589,13.60380053,6.9,37.5,5,1
24,48,1.969015208,10.73662037,4.41206101,4.281164344,15.04480107,15.57615531,6.9,37.5,5,1
24,72,3.170700506,5.130894664,3.673983953,5.190584073,32.80709461,50.49803657,6.9,37.5,5,1
24,96,3.82551099,0.836330641,2.986999398,8.124173849,42.02342188,117.3376136,6.9,37.5,5,1
24,120,2.80882957,0,2.815656183,7.7751473,30.45372364,145.5555737,6.9,37.5,5,1
24,144,3.851586675,0,2.623963012,6.888087811,47.76586878,275.9238004,7,35,5,1
24,168,4.005270141,0.895605289,2.510723102,7.609491023,47.53946288,376.5904625,7,35,5,1
24,192,3.113678844,0.041967527,1.593393582,9.036447196,73.42030759,349.5898156,7,35,0,0
24,216,4.128869691,0,2.208644147,6.003526774,57.07044284,340.5789138,7,35,0,0
24,240,3.234190146,0,1.464336166,7.201480553,69.43891667,414.5624637,7,35,0,0
24,264,2.193623189,1.04397292,1.051929584,8.616000523,78.75771097,397.7577814,7,35,0,0
24,288,2.207569953,0,1.131639614,7.583953951,51.38432736,304.1316807,7,35,0,0
24,312,2.070897974,0,0.896216781,9.621729775,59.49772775,420.7609612,7,35,0,0
24,336,1.952160347,0,0.81053411,7.551749977,49.76009115,310.3738146,7,35,0,0
25,0,0.4,20,8,0.1,0.1,0,6.9,36,0,0
